patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
e623a689-5d59-4d2a-8eea-04e70ab54bde,Xuân Đặng,975356965190,13/12/1963,0887485072,johndang@example.net,"2 John Hẻm
JohnQuận, 872343",Tiểu đường,4.88,Huy Hải Vũ,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Ánh Dương,843693972485,19/08/1965,0760177573,janedang@example.com,"036 Vũ Ngõ
JanePhường, 634150",Khỏe mạnh,8.49,Hải Tấn Nguyễn,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Hưng Trần,572564707932,03/07/1994,0511097347,jane69@example.net,"06 John Tổ
JohnPhường, 446239",Tim mạch,8.3,Tú Thế Mai,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Tùng Lê,147934305802,20/06/1961,0599898486,rbui@example.net,"80 Vũ Làng
JaneThị xã, 563246",Khỏe mạnh,5.43,Anh Minh Dương,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Vũ Hải Vũ,972816284525,06/12/1965,0774618673,johnnguyen@example.org,"1 Bùi Làng
JaneThị xã, 355836",Tim mạch,9.51,Cô Hà Bùi,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Ông Tùng Phạm,667805328202,16/11/1951,0955859638,zle@example.com,"98 Mai Dãy
Thị xã JaneHuyện, 888295",Khỏe mạnh,5.99,Bà Vi Mai,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Nhật Vũ,274425314148,10/04/1967,0873685113,jane58@example.org,"23 Jane Số
JaneThị xã, 165290",Huyết áp cao,5.92,Quý cô Hồng Hoàng,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Nhật Văn Đặng,296281061572,01/01/1976,0988808645,ibui@example.net,"34 Dương Đường
JanePhường, 812131",Tiểu đường,4.57,Nhật Xuân Dương,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Khoa Văn Trần,425513758048,10/09/1993,0325901982,janele@example.org,"755 Vũ Số
JohnThị xã, 120324",Tim mạch,9.21,Linh Phạm,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Vi Nguyễn,698492737824,05/01/1969,0538529993,johnhoang@example.org,"1 Jane Khu
JohnXã, 736745",Huyết áp cao,10.0,Bảo Vũ,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Kim Hoàng Trần,789495734536,30/05/1968,0569372556,vujohn@example.net,"6 Trần Tổ
Thị xã JaneThành phố, 554582",Tiểu đường,4.74,Bảo Trí Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Trọng Mai,112598390175,28/02/2001,0361754759,ubui@example.net,"473 Hoàng Số
JohnThị xã, 992288",Tim mạch,10.98,Phúc Mai Bảo Phạm,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Tùng Nguyễn,362039764231,02/09/2005,0305910703,johnpham@example.net,"7 Dương Đường
Huyện JohnThị xã, 825391",Huyết áp cao,7.96,Bà Dương Hoàng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Nhật Tấn Đặng,627559064782,10/02/1997,0874938312,jane43@example.org,"823 Jane Khu
JohnQuận, 410636",Huyết áp cao,10.53,Bà Lan Vũ,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Ngọc Mai,919225137438,13/02/1975,0569332681,janetran@example.org,"75 John Khu
JohnThành phố, 520172",Tim mạch,11.24,Ông Nhiên Nguyễn,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Vũ Phạm,989770389405,25/06/1951,0516382194,mhoang@example.net,"74 Vũ Đường
Quận JohnHuyện, 792509",Huyết áp cao,9.3,Bảo Phạm,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Nhật Mai Bảo Vũ,217051104093,20/10/1939,0343067635,janevu@example.net,"3 Hoàng Làng
JohnXã, 335729",Khỏe mạnh,4.92,Bà Bảo Trần,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Bảo Trần,087485512276,24/02/1999,0575380702,jane48@example.net,"0 Đặng Khu
Thành phố JohnPhường, 976566",Tim mạch,3.52,Vi Vũ,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,711091602848,06/09/1994,0702268503,etran@example.com,"1 Jane Số
JanePhường, 519904",Tiểu đường,3.5,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,479724219746,26/03/1998,0315909355,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Tiểu đường,5.56,An Hoàng,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Vân Bùi,378093352477,17/01/1948,0589326744,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Huyết áp cao,4.54,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,615567369622,13/08/1981,0721474430,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tim mạch,4.64,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,187657518883,25/05/1940,0595026321,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Khỏe mạnh,3.73,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,775720581082,24/04/1967,0866552946,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Tiểu đường,4.46,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,328518167877,19/02/1968,0554184269,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Khỏe mạnh,7.46,Nhật Đức Dương,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Ông Quang Bùi,040585539025,18/03/1984,0505792029,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Tim mạch,11.31,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,235562203330,29/10/1979,0313285416,mle@example.org,"8 Lê Khu
JanePhường, 455168",Khỏe mạnh,7.16,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,857428058279,22/01/1989,0329802546,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Tiểu đường,8.2,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,757189417763,20/05/1954,0959432645,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Huyết áp cao,6.98,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,599851132781,30/06/1967,0792684005,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Tim mạch,6.75,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,201126201026,29/09/1935,0931456451,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Khỏe mạnh,6.13,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,991456238929,15/03/1950,0332647567,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Huyết áp cao,4.38,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,138599542549,01/03/2004,0822157903,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Tim mạch,11.56,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,421238085514,18/01/1948,0377412270,vtran@example.net,"0 Trần Số
JanePhường, 153945",Tiểu đường,11.58,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,710963529456,04/01/1983,0712812736,john49@example.org,"4 John Khu
JaneHuyện, 106402",Huyết áp cao,10.24,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Hương Mai,813434544695,21/08/1964,0545566521,dbui@example.com,"5 John Hẻm
Thành phố JohnHuyện, 564637",Khỏe mạnh,7.42,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Huy Đức Vũ,778025643041,03/08/2001,0945441031,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Khỏe mạnh,11.07,Chị Kim Mai,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,990730008826,23/09/1994,0363696067,duongjohn@example.com,"6 Trần Số
Huyện JohnXã, 582446",Huyết áp cao,11.61,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Kim Vũ,572765265764,26/07/1981,0582323455,janele@example.org,"8 Jane Tổ
Quận JohnQuận, 368402",Tim mạch,11.74,Chị Duyên Lê,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Quý ông Nhiên Hoàng,198716011324,15/06/1996,0384950384,jane27@example.org,"90 Mai Ngõ
JaneThị xã, 139434",Khỏe mạnh,4.96,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Khoa Hoàng,822191940063,15/05/2004,0949232786,lduong@example.net,"93 Hoàng Dãy
Thành phố JaneThành phố, 950360",Khỏe mạnh,7.55,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Bà Thành Vũ,547206212143,01/02/1988,0823839410,rdang@example.net,"518 Vũ Khu
Huyện JohnXã, 795847",Huyết áp cao,11.69,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Tùng Bùi,752897598464,24/01/1980,0359658137,johnbui@example.net,"23 Dương Làng
Quận JohnThành phố, 410160",Huyết áp cao,6.32,Phương Mai,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Quý cô Bảo Lê,892033111813,21/12/1959,0984399573,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Huyết áp cao,6.49,Quý ông Khoa Bùi,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Chị Ánh Vũ,727138820479,17/06/1942,0948592747,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Khỏe mạnh,3.61,Bác Nam Bùi,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Hà Phú Phạm,276081306467,13/03/1939,0375714896,john52@example.org,"2 Dương Đường
Thành phố JaneQuận, 975522",Tiểu đường,7.93,Quý cô Hà Vũ,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Hải Mai Trần,741855141073,12/06/1950,0305442061,ihoang@example.org,"2 Bùi Đường
JohnXã, 536802",Huyết áp cao,8.31,Cô Phương Đặng,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Hồng Dương,853144035350,14/04/1941,0565903637,qdang@example.net,"31 Lê Đường
JanePhường, 283594",Tim mạch,7.07,Quý ông Phúc Lê,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Thảo Phạm,542355993433,27/04/1941,0861412385,johndang@example.com,"03 Đặng Đường
JaneThành phố, 938171",Khỏe mạnh,11.76,Huy Hữu Dương,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Bác Minh Vũ,236265751033,08/08/1946,0365709108,btran@example.net,"Huyện JaneThành phố
44 Hoàng Số, 274739",Khỏe mạnh,7.15,Bác Bảo Nguyễn,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Hương Bùi,609591786379,21/10/1984,0876399447,johnle@example.net,"213 Đặng Số
Quận JaneHuyện, 490084",Tiểu đường,6.17,Ông Nhiên Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quang Trần,236079096714,20/11/1938,0944012696,janemai@example.com,"47 Jane Dãy
Thành phố JohnThành phố, 574001",Huyết áp cao,6.36,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Khoa Lê,547795788986,20/01/1959,0973804774,john13@example.org,"589 Dương Hẻm
Thành phố JaneThị xã, 851759",Tim mạch,6.38,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Nhật Dương,537256898365,09/10/2005,0309287421,john89@example.org,"80 John Khu
Quận JanePhường, 336422",Huyết áp cao,10.36,Minh Thế Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Hoàng Vũ,776813648290,19/12/2007,0925917560,maijohn@example.net,"995 John Ngõ
Huyện JohnXã, 536822",Tim mạch,5.69,Chi Mai,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Thảo Dương,981809164160,16/04/1945,0302956304,lejane@example.com,"92 Đặng Tổ
JohnHuyện, 639995",Tim mạch,6.88,Thành Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Cô An Vũ,882338951063,23/08/1987,0761474071,kpham@example.com,"278 Dương Khu
JohnThành phố, 512344",Tim mạch,8.58,Anh Trung Hoàng,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Bác Tùng Nguyễn,128084678676,27/12/1949,0334119161,qle@example.net,"06 John Tổ
JohnThị xã, 628750",Khỏe mạnh,3.57,Bác Trọng Hoàng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Dũng Phú Lê,834966458968,14/06/1962,0752767148,cmai@example.org,"87 John Tổ
JohnThị xã, 746447",Tiểu đường,9.39,Nhiên Đặng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Châu Nguyễn,525720534005,29/06/1985,0724080306,john69@example.com,"7 Hoàng Làng
Thị xã JohnXã, 759580",Tim mạch,10.18,Bảo Hải Nguyễn,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Chi Đặng,262626714627,09/05/1992,0999216921,janepham@example.com,"0 John Tổ
JaneHuyện, 281594",Tiểu đường,5.05,Bác Tùng Đặng,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Anh Quang Vũ,344182022913,26/12/1975,0837194066,janevu@example.net,"75 Vũ Ngõ
JaneHuyện, 910616",Tim mạch,4.36,Bà An Vũ,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Châu Phạm,454384702161,10/11/1962,0713412293,jane21@example.net,"083 John Ngõ
JanePhường, 595351",Khỏe mạnh,10.66,Hải Lê,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Hải Dương,428324620923,04/05/2000,0394133701,janedang@example.com,"9 John Hẻm
JohnThành phố, 976822",Huyết áp cao,8.07,Nhật Xuân Vũ,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,Thành Vũ,384245696454,12/03/1997,0730521244,gle@example.com,"27 Lê Đường
JaneXã, 807160",Khỏe mạnh,8.25,Chị Duyên Bùi,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Bảo Lê,776432809949,04/05/2000,0889095109,john04@example.com,"49 Jane Tổ
Thành phố JohnThị xã, 421709",Tim mạch,4.62,Quý cô Hải Mai,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Quang Hoàng,249655115271,01/06/1965,0583077965,johnduong@example.org,"87 John Ngõ
JaneThành phố, 691573",Tiểu đường,10.55,An Mai,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Bà Phương Dương,629950264097,07/03/1951,0897214533,janetran@example.net,"28 Dương Đường
JanePhường, 122827",Tim mạch,6.15,Hạnh Văn Phạm,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Phương Nguyễn,738332085747,01/10/1944,0560082133,snguyen@example.com,"6 Bùi Dãy
JaneThành phố, 815894",Tim mạch,8.95,Bà Hà Lê,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Cô Vi Nguyễn,122158928954,19/12/1975,0778704807,bmai@example.net,"752 Phạm Ngõ
Thị xã JohnQuận, 316092",Tiểu đường,9.4,Hà Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Mai Nguyễn,843272631511,08/02/1990,0526200288,ipham@example.org,"843 Hoàng Tổ
Huyện JohnPhường, 646571",Tim mạch,4.93,Quý cô Thảo Vũ,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô Phương Dương,680561840795,27/09/1941,0877246530,jane85@example.net,"62 Phạm Làng
JohnThị xã, 160423",Huyết áp cao,6.88,Kim Trí Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Nhật Đặng,823880774735,11/12/1947,0302756652,johnvu@example.com,"398 Jane Làng
JaneThành phố, 322096",Tim mạch,10.9,Cô Yến Dương,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Lâm Tấn Vũ,970115204106,02/03/1987,0712744398,pmai@example.com,"7 Trần Dãy
JohnHuyện, 428122",Tim mạch,8.24,An Hải Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Hạnh Trí Phạm,586875728380,02/04/1980,0813665772,janehoang@example.org,"77 Lê Tổ
Quận JaneQuận, 668471",Tiểu đường,5.94,Vân Nguyễn,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Hồng Lê,092716813368,09/11/1966,0983699981,lejohn@example.org,"997 Nguyễn Đường
JohnThành phố, 655134",Huyết áp cao,9.97,Tùng Vũ,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Bảo Đức Trần,864321309075,23/09/2006,0946297120,johnpham@example.net,"61 Bùi Dãy
Quận JanePhường, 968286",Huyết áp cao,8.85,Hải Nguyễn,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Ông Nam Lê,159361847439,12/08/1946,0745567063,pbui@example.com,"0 John Dãy
JohnThành phố, 817675",Tim mạch,4.81,Tùng Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Nam Hoàng Hoàng,618395896923,25/12/1954,0803477311,ttran@example.org,"8 Bùi Hẻm
Huyện JohnThành phố, 558320",Tiểu đường,10.19,Cô Linh Hoàng,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Nam Đức Dương,145236095154,17/02/2002,0874968643,janemai@example.com,"943 John Khu
Thị xã JohnPhường, 508548",Tim mạch,8.13,Quang Đức Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Tú Lê,289965079999,29/03/1947,0539083748,janeduong@example.net,"015 Jane Số
Huyện JaneThị xã, 917018",Huyết áp cao,4.43,Nhật Mai,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Bảo Trí Vũ,000260434168,05/05/1976,0921180478,jane21@example.org,"71 Vũ Làng
JohnThị xã, 212168",Tiểu đường,7.85,Bà An Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Bảo Tấn Bùi,344513576599,19/11/1953,0709662435,jane93@example.com,"47 Jane Số
JaneHuyện, 219420",Khỏe mạnh,4.65,Chị Dương Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Quý cô Vi Vũ,785983028974,08/10/1944,0746995558,iduong@example.net,"2 Bùi Ngõ
JaneXã, 520274",Tiểu đường,5.08,Phương Thị Đặng,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Lâm Đặng,826284788368,30/12/1957,0966166650,hoangjane@example.com,"JohnThành phố
38 Jane Tổ, 510133",Khỏe mạnh,9.59,Anh Quang Nguyễn,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Hà Lê,549064383307,07/10/1982,0931150011,jane73@example.net,"775 Jane Đường
Thành phố JanePhường, 214675",Tim mạch,5.49,Chị Phương Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Anh Thành Lê,000350756910,22/09/1960,0993947721,bbui@example.net,"96 Nguyễn Làng
Huyện JohnXã, 206694",Khỏe mạnh,11.18,Bà Thành Phạm,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Trọng Bùi,147110555781,13/10/1988,0847286647,dangjane@example.com,"9 John Tổ
Quận JaneThành phố, 291936",Khỏe mạnh,8.98,Hoàng Hữu Bùi,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Quý cô Hải Mai,136944340013,08/12/1958,0998554979,janevu@example.org,"0 Nguyễn Dãy
Quận JaneXã, 629990",Tim mạch,10.17,Quý ông Châu Bùi,28/03/2026
90bde900-1529-46f5-aad1-1fe87d1b695e,Vi Phạm,600387494627,10/02/1975,0536772468,vujohn@example.net,"7 John Khu
JohnPhường, 562806",Tiểu đường,9.81,Quý cô Hương Phạm,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Quang Trần,434002753165,12/02/1995,0589309773,phamjohn@example.net,"9 Lê Hẻm
Quận JohnXã, 467856",Tim mạch,10.11,Trọng Mai,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Nhiên Vũ,657443587123,15/05/2005,0901983727,lejane@example.org,"Quận JohnQuận
672 Bùi Số, 573947",Tiểu đường,10.49,Hải Trần,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Bảo Mai Bảo Đặng,214005821326,11/09/1935,0788940450,duongjane@example.org,"637 Đặng Khu
JohnXã, 993829",Khỏe mạnh,9.21,Bác Hưng Nguyễn,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Hương Lê,023744034315,02/06/1995,0511459913,bnguyen@example.org,"Huyện JohnHuyện
5 Trần Tổ, 796787",Khỏe mạnh,8.59,Cô Kim Vũ,15/02/2026
b4258e19-1758-447e-a7cd-e1436de21429,An Phạm,601764751773,02/04/2000,0855306426,lejohn@example.net,"516 Jane Ngõ
Thị xã JohnPhường, 945106",Tim mạch,7.22,Hà Đặng,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Chị Hà Mai,937188364912,06/07/1936,0538792885,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Tiểu đường,11.17,Hoàng Hải Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Nam Vũ,974879084390,27/04/1963,0736466664,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Tiểu đường,3.89,Thành Xuân Dương,15/01/2026
0387f74d-1149-4096-965d-744f0445c1a8,Trung Nguyễn,886305537596,03/08/1943,0367217455,smai@example.net,"61 Jane Ngõ
JohnXã, 313068",Tim mạch,7.45,Bà Kim Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Hạnh Bùi,106777044750,02/11/1967,0976274826,phamjohn@example.com,"21 John Đường
Thị xã JaneXã, 642347",Tiểu đường,7.64,Phúc Đặng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,An Đặng,488279741861,15/10/1993,0509210583,john49@example.net,"5 Jane Hẻm
JohnHuyện, 910894",Tiểu đường,5.1,Khoa Trần,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Mai Nguyễn,857714277082,26/07/1999,0505967825,jane22@example.org,"536 Vũ Ngõ
JohnXã, 806033",Khỏe mạnh,10.83,Lan Phạm,11/04/2026
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,Nhật Vũ,403010084506,23/08/1977,0865019700,john87@example.org,"4 Jane Tổ
JohnPhường, 673108",Huyết áp cao,8.52,Chị Ngọc Bùi,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Linh Nguyễn,104388853282,27/07/1986,0567581271,john38@example.org,"410 Jane Tổ
JohnXã, 200219",Tim mạch,11.18,Quý cô Hà Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Chị Hạnh Vũ,665640955586,26/03/1978,0551752918,udang@example.com,"291 John Hẻm
JaneHuyện, 526259",Khỏe mạnh,7.86,Phương Đặng,10/02/2026
43d78f2b-769d-41e3-8eed-412473b0d676,Hà Lê,280660619003,05/10/1976,0743020645,phamjane@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Tim mạch,4.62,Cô Chi Trần,28/01/2026
d49347fc-0fc9-4d2e-830f-9be91f178f93,Chị Mai Bùi,049338196779,08/01/1986,0948024696,hoangjane@example.org,"721 Trần Đường
JohnQuận, 701761",Tim mạch,10.25,Nhật Hữu Dương,06/01/2026
2c3d17e2-6d39-4a75-aee7-0ab261fa8e7a,Trung Xuân Vũ,924356940297,12/06/1973,0374839262,cle@example.net,"4 Bùi Dãy
Thành phố JaneThị xã, 243902",Huyết áp cao,7.27,Lâm Hải Mai,04/01/2026
